,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,mean,std
expl_var,0.18393086895497746,0.18378705979268095,0.18501102262406832,0.19089577310754857,0.17369165009583099,0.20008644172631307,0.18509610700530144,0.18183153686646636,0.12450427988018342,0.14907631184576609,0.17579110518991364,0.021225240896298358
mae,0.40506157856973585,0.3959620292195022,0.39095490604367905,0.3909549298193998,0.3874332607212608,0.385276210135328,0.3874744394440751,0.3868089303348441,0.3896066133117636,0.3985539744848762,0.3918086872084464,0.005918582087572125
mse,0.24123249976048727,0.23427970166125833,0.22813827705596773,0.2286249319005363,0.22512069751873398,0.22177808130134463,0.22471271666186812,0.2353898277577105,0.24023264843740624,0.2511199633886023,0.23306293454439153,0.008690219429167876
rmse,0.4911542525118634,0.4840244845679383,0.477638228218772,0.4781473955806267,0.4744688583234246,0.4709332025896503,0.4740387290737626,0.48516989576612285,0.4901353368585112,0.501118711872349,0.48268290953630205,0.008952283840537595
R2,0.1661712518769809,0.17223887195482201,0.17713769850148364,0.18669470285930934,0.16911688547081505,0.19789803672694428,0.18231679161415937,0.16119194250718594,0.08321903891462945,0.0998832550477432,0.15958684754740732,0.03566602440674081
