Baseline,R2_mean,R2_std,expl_var_mean,expl_var_std,mae_mean,mae_std,mse_mean,mse_std,rmse_mean,rmse_std
not-clean;1-feat,0.0005226780046932667,0.0008182586184153893,0.0005633763656191171,0.0008203047253580653,0.4376331211801827,0.0026012668881709973,0.2849764583505082,0.0030459119317179754,0.5338242384216746,0.0028532129306092224
not-clean;68-feats,0.06548481668707604,0.005107120078948723,0.0655220790477559,0.005085362316813418,0.4218252720483301,0.002095599710948637,0.2664431767585552,0.002092304435307962,0.5161773675937423,0.0020253252948233633
clean;1-feat,0.03835383853268508,0.0028405904456332343,0.03840170663966169,0.002853449502693166,0.4307593066572827,0.0022668382794314872,0.2741863560815143,0.0026989048251827284,0.5236217231730294,0.0025781975916992265
clean;68-feats,0.1876743736267737,0.007757753573015675,0.18772746102714793,0.007725062663978794,0.3904700757487457,0.0024107307480810388,0.23160857538703,0.002849572232541589,0.48124817290492883,0.002961665527662742
