,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,mean,std
expl_var,0.18311214868642622,0.18326514598770405,0.18561503667373258,0.19015419068304207,0.1737140327414589,0.19908240614096817,0.18483901034284844,0.18055928748518535,0.12351605398571552,0.14841717312973246,0.17522744858568137,0.021313146050207427
mae,0.4046300364287402,0.39581093627789754,0.39093504816517544,0.3911601523176549,0.3873688126547359,0.3856793260689888,0.3874063844826094,0.3875165506093857,0.38958418628151087,0.39867353138975403,0.3918764964676452,0.005733250431316238
mse,0.24129759552420968,0.23435970816827809,0.22794536052970854,0.22877002929325105,0.22508405392860192,0.22203370951523427,0.22476329837418707,0.23559165226412823,0.24023073903140124,0.2509893218270092,0.23310654684560092,0.008645278126851041
rmse,0.49122051618820817,0.4841071246824179,0.4774362371350844,0.4782991002429871,0.4744302413723243,0.47120453044854554,0.47409207794919656,0.4853778448426836,0.4901333890191539,0.5009883450011678,0.48272894068817684,0.008905990549707837
r2,0.16594624604556663,0.1719561915688047,0.17783352095987714,0.18617853659032368,0.16925213087753255,0.19697350942007197,0.1821327352001343,0.16047274395984268,0.08322632563058485,0.1003515278827255,0.1594323468135464,0.035458845703588544
