,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,mean,std
rmse,0.4574690756808082,0.45643711407272397,0.4539841479804202,0.45397909794393904,0.4618967351633676,0.4548889924657636,0.458484377888601,0.4533539499844143,0.4588325440354312,0.46097003286412375,0.45702960680795923,0.002860072108410791
expl_var,0.2779922493080017,0.2578564369126729,0.2712469986135637,0.2805067098352674,0.25218848354365153,0.2857997060734493,0.26317820850326834,0.2688206237403522,0.26565772111512254,0.25170428241902554,0.2674951420064375,0.011085766823582557
mae,0.3681695216742202,0.36698307906942906,0.3661645343189132,0.3661046689471799,0.3691599576947082,0.365978843126374,0.3702988762598861,0.36584235000097315,0.3679705740316681,0.37195637645829477,0.36786287815816465,0.001971311719476659
mse,0.209277955204253,0.20833483910303682,0.20610160661750807,0.20609702136999258,0.21334859395457817,0.20692399546651752,0.2102079247678975,0.2055298039664708,0.21052730346602594,0.21249337119875134,0.20888424151150317,0.0026167035012442295
R2,0.2779889918298254,0.25695050985113366,0.2712354929406058,0.2804701472782333,0.252157443910594,0.28572217741732087,0.26300707319467287,0.26881281847697036,0.2655233492757698,0.2513853770489255,0.2673253381224051,0.011207694383672253
