,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,mean,std
rmse,0.5146393706108578,0.5061815040968604,0.5057039182453869,0.5055832329179579,0.5112709576827429,0.5150683052646146,0.5053119841657739,0.5054851822381667,0.5036117995311691,0.5109639930978145,0.5083820247851344,0.0039911513885230185
expl_var,0.09455884973487483,0.09368740223519278,0.09727537495502758,0.10903518875903206,0.08575471157445214,0.09640839290428138,0.1053301115136055,0.1050809218923966,0.11607404551553568,0.09477787407052463,0.09979828731549231,0.00844870180894094
mae,0.41842022392793665,0.4181156456177881,0.4177398769819516,0.4172153407969534,0.4198498626425709,0.4271112808410412,0.41610575985772297,0.41964400839966415,0.409043771497056,0.42412278639381157,0.4187368556956497,0.004537341014983663
mse,0.26485368178273994,0.2562197150897599,0.2557364529287369,0.2556144054077741,0.26139799216982906,0.2652953590881622,0.2553402013415514,0.2555152694623526,0.2536248446270224,0.26108420224246337,0.2584682124140392,0.004067384471206665
R2,0.0862521873605705,0.0861637473443645,0.09572927104054463,0.10759411148192133,0.0837317509458625,0.08423094671277653,0.10477246504594928,0.09098590029914322,0.11516690065728197,0.08019977038524984,0.09348270512736642,0.01127402290061131
