,Fold 1,Fold 2,Fold 3,mean,sd
R2,-0.00439707452303395,0.002901465730271946,-0.001746916655501085,-0.0010808418160876965,0.003016611147856294
expl_var,-0.004321183855232613,0.0029983675474781757,-0.001723442379659046,-0.001015419562471161,0.0030298438261705143
mae,0.43984473159179843,0.43702626769213193,0.4294460573013747,0.43543901886176833,0.0043910990185979494
mse,0.2927019581780237,0.28658284039561566,0.27739073955423205,0.2855585127092905,0.0062926035599008496
rmse,0.5410193695035546,0.5353343258148273,0.5266789720068877,0.5343442224417565,0.005896155731074648
