,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,mean,std
expl_var,0.2127501050514773,0.25418106639050597,0.26026806512566625,0.2630490384859824,0.2589212457402682,0.27054625826889367,0.2624679997956114,0.2491601622896591,0.18459791139106263,0.21413024653813995,0.24300720990772667,0.027228150015094193
mae,0.39493545471970104,0.3734386834799559,0.367943949427089,0.36851450606076136,0.36213326140133756,0.3632245651121257,0.3643256351682875,0.3678123541068876,0.37088695555740264,0.37643410066382615,0.37096494656973744,0.00904259315650426
mse,0.23188900062400442,0.2133097894696004,0.20689025276531864,0.20823674929894165,0.20206302527293532,0.20234812795517693,0.2037648723013931,0.21193662288574103,0.21611688513134591,0.2215890726211819,0.21181443983256393,0.008976846014309349
rmse,0.4815485444106382,0.46185472766834423,0.45485190201352205,0.45632964981353297,0.4495142103125721,0.44983122163226613,0.45140322584291875,0.4603657490362864,0.4648837329175392,0.4707324851985275,0.4601315448846147,0.009664431419472626
R2,0.1984673902322911,0.246330131452296,0.2537762985458356,0.2592231745841803,0.2542189251346183,0.26817010163893573,0.25854167483345014,0.2447670800058509,0.17525012962958642,0.20573405605306683,0.23644789621101112,0.02987829063226957
