,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,mean,sd
R2,0.06885561441580301,0.05020603593696438,0.06511590105020948,0.07205626373646545,0.04231653717970507,0.06054814753631077,0.05413057368273433,0.06307067003143851,0.0685344120913749,0.056940392892541825,0.06017745485535477,0.008857971345081133
expl_var,0.06942074956711886,0.05020868207507134,0.06523701644528379,0.07213650426068696,0.042802126839366794,0.060739929214879806,0.054312527506843344,0.06326304192493604,0.06890607011016803,0.05715624291827359,0.06041828908626286,0.008856105295433432
mae,0.40945862022411234,0.4079492372080465,0.404470095855272,0.4076454705008775,0.41035236938031594,0.4109882543539894,0.41032536789523427,0.40591412368349983,0.40308128544423444,0.4094126384012962,0.4079597462946879,0.0025516794944401367
mse,0.2698961522883759,0.266301471580937,0.26439420818145,0.26579361414877817,0.27321314972323474,0.272156190090455,0.26978447414607803,0.26336197677558737,0.26699138536321904,0.26768634890629217,0.2679578971204407,0.0030756246997444866
rmse,0.5195153051531551,0.5160440597283695,0.5141927733656415,0.5155517570029009,0.5226979526679196,0.5216859113398166,0.5194078110175838,0.5131880520584899,0.5167120913654131,0.5173841405631721,0.5176379854262463,0.0029686974076265325
