,Metric,10-Fold Mean Not Post-Processed,10-Fold STD Not Post-Processed,10-Fold Mean Post-Processed,10-Fold STD Post-Processed,Change in 10-Fold Mean
0,rmse,0.4813934233703172,0.002975979474394825,0.48124817290492883,0.002961665527662742,-0.00014525046538838016
1,expl_var,0.18723421240957455,0.00799107174865279,0.18772746102714793,0.007725062663978794,0.000493248617573383
2,mae,0.39061489581070896,0.0024059760081694666,0.3904700757487457,0.0024107307480810388,-0.0001448200619632578
3,mse,0.23174848451802554,0.0028643133249623997,0.23160857538703,0.002849572232541589,-0.00013990913099554136
4,R2,0.18718168119843273,0.008025063825844801,0.1876743736267737,0.007757753573015675,0.0004926924283409628
