,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,mean,std
rmse,0.48496002331787313,0.4798481030160486,0.4773037939638275,0.4787235338640291,0.4845474667902307,0.48258383857327897,0.48455967040167747,0.47690147368993024,0.4834452617273494,0.47960856370504346,0.48124817290492883,0.002961665527662742
expl_var,0.18867107542466643,0.1789326155178128,0.19445040889934295,0.1999179460398307,0.17717688151569133,0.19610391799283633,0.17679408141946595,0.19089704503905724,0.1846135115774602,0.1897171268453156,0.18772746102714793,0.007725062663978794
mae,0.3952961296185733,0.3885848588391675,0.38763371653533035,0.3883644721804343,0.390776716812237,0.3905817460726114,0.3942623266773251,0.3884078787513459,0.3902520150552077,0.3905408969452246,0.3904700757487457,0.0024107307480810388
mse,0.23518622421647203,0.23025420196810034,0.2278189117322639,0.2291762218752642,0.23478624757282973,0.23288716125212056,0.23479807417978232,0.22743501560762724,0.23371932108662538,0.23002437437921472,0.23160857538703,0.002849572232541589
R2,0.1886052083768599,0.17877265217069904,0.19444423732470217,0.19989560219210012,0.17701286769723623,0.19610031658439286,0.1767935481543793,0.19088343961581244,0.1846122505960488,0.18962361355550594,0.1876743736267737,0.007757753573015675
