,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,mean,std
expl_var,0.18395799443146033,0.18387427112354293,0.18507962145303758,0.1909520387269188,0.17372043794935776,0.20015268578777456,0.18511995080759625,0.1818890061030719,0.12455192664357673,0.14912391721481044,0.17584218502411472,0.021229032857713468
mae,0.4050409635630104,0.3959134259823459,0.3909259319967479,0.39092655598118675,0.38741954802814826,0.3852557896192647,0.3874585045263808,0.38679300916438536,0.3895810345720913,0.3985350764743488,0.39178498399079104,0.005915967256148234
mse,0.2412251674867065,0.23425476708099727,0.22811857962039808,0.2286067451671998,0.2251116211707784,0.22175718905922173,0.22470412157631375,0.23536788149226398,0.2402029452070411,0.2510880212087925,0.23304370390697127,0.008685921851687045
rmse,0.49114678812622453,0.4839987263216684,0.4776176081557275,0.47812837728710456,0.4744592934813043,0.47091102032042287,0.47402966318186646,0.4851472781457853,0.49010503487215995,0.5010868399876337,0.48266306298798983,0.008948269889936133
R2,0.16619659614308768,0.17232697124869112,0.17720874434865852,0.1867593999439069,0.1691503847640431,0.1979735974330592,0.1823480673569694,0.16127014768904857,0.08333239301640794,0.09999774889573965,0.1596564050839612,0.03564595762204982
